year,region,total,detained,nc,dc,rc,nn,dn,rn,total_year,detained_year,pct_criminal_detained,pct_noncriminal_detained,pct_detained,pct_all_proceedings,pct_all_detained
2006,ASIA,20269.0,6558.0,619.0,1754.0,223.0,13092.0,1684.0,2897.0,247715.0,115316.0,0.7615562403697997,0.2592089628246478,0.3235482756919434,0.08182387017338473,0.05686981858545215
2006,EUROPE,5443.0,1766.0,374.0,792.0,98.0,3303.0,453.0,423.0,247715.0,115316.0,0.7041139240506329,0.2096195262024408,0.32445342641925407,0.021972831681569546,0.015314440320510598
2006,OCEANIA,326.0,156.0,27.0,90.0,13.0,143.0,23.0,30.0,247715.0,115316.0,0.7923076923076923,0.27040816326530615,0.4785276073619632,0.0013160285004945199,0.0013528044677234728
2006,OTHERS,335.0,219.0,3.0,15.0,1.0,113.0,166.0,37.0,247715.0,115316.0,0.8421052631578947,0.6424050632911392,0.6537313432835821,0.0013523605756615466,0.0018991293489194908
2007,AFRICA,10030.0,2638.0,163.0,729.0,85.0,7229.0,889.0,935.0,208563.0,123617.0,0.8331627430910952,0.20148017231856843,0.26301096709870386,0.04809098449868864,0.021340106943219785
2007,CARIBBEAN,17051.0,6907.0,1195.0,4187.0,260.0,8949.0,1621.0,839.0,208563.0,123617.0,0.7881956752924495,0.21561924796213516,0.4050788810040467,0.0817546736477707,0.05587419206096249
2007,CENTRAL AMERICA,140320.0,98915.0,1677.0,18938.0,956.0,39728.0,64857.0,14164.0,208563.0,123617.0,0.9222567335774883,0.6654456037524527,0.7049244583808438,0.6727943115509463,0.8001731153482127
2007,SOUTH AMERICA,11391.0,5203.0,270.0,1284.0,74.0,5918.0,2109.0,1736.0,208563.0,123617.0,0.8341523341523341,0.39383386254225133,0.45676411201826,0.0546165906704449,0.04208968022197594
2007,NORTH AMERICA,1170.0,414.0,360.0,237.0,26.0,396.0,110.0,41.0,208563.0,123617.0,0.42215088282504015,0.2760511882998172,0.35384615384615387,0.005609815739129184,0.0033490539327115203
2007,ASIA,21816.0,6893.0,547.0,1879.0,222.0,14376.0,1815.0,2977.0,208563.0,123617.0,0.793429003021148,0.25,0.31596076274294094,0.10460148732037801,0.055760939029421516
2007,EUROPE,5699.0,1997.0,261.0,786.0,109.0,3441.0,580.0,522.0,208563.0,123617.0,0.7742214532871973,0.2425709883337002,0.3504123530443938,0.02732507683529677,0.016154735999093974
2007,OCEANIA,543.0,272.0,24.0,146.0,25.0,247.0,46.0,55.0,208563.0,123617.0,0.8769230769230769,0.29022988505747127,0.5009208103130756,0.002603529868672775,0.0022003446127959745
2007,OTHERS,543.0,378.0,2.0,10.0,1.0,163.0,324.0,43.0,208563.0,123617.0,0.8461538461538461,0.6924528301886792,0.6961325966850829,0.002603529868672775,0.0030578318516061706
2008,AFRICA,10054.0,2806.0,112.0,825.0,100.0,7136.0,839.0,1042.0,224859.0,145400.0,0.8919961427193829,0.20860596650770766,0.2790928983489159,0.044712464255377816,0.019298486932599723
2008,CARIBBEAN,15597.0,7196.0,1247.0,4244.0,214.0,7154.0,1844.0,894.0,224859.0,145400.0,0.7814198071866784,0.2767893247068338,0.461370776431365,0.06936346777313783,0.049491059147180196
2008,CENTRAL AMERICA,153554.0,119225.0,1551.0,20272.0,965.0,32778.0,82661.0,15327.0,224859.0,145400.0,0.9319378620326487,0.7493385130691465,0.7764369537752192,0.6828901667267043,0.8199793672627235
2008,SOUTH AMERICA,12547.0,6165.0,283.0,1402.0,101.0,6099.0,2762.0,1900.0,224859.0,145400.0,0.841545352743561,0.4332311123501533,0.49135251454530965,0.05579941207601208,0.04240027510316369
2008,NORTH AMERICA,1171.0,447.0,297.0,257.0,19.0,427.0,125.0,46.0,224859.0,145400.0,0.4816753926701571,0.28595317725752506,0.3817250213492741,0.0052077079414210685,0.0030742778541953232
2008,ASIA,24611.0,6607.0,501.0,1904.0,214.0,17503.0,1882.0,2607.0,224859.0,145400.0,0.8087056128293242,0.20411967988359403,0.26845719393767015,0.10945081139736457,0.04544016506189821
2008,EUROPE,6048.0,2237.0,273.0,904.0,102.0,3538.0,693.0,538.0,224859.0,145400.0,0.7865519937451134,0.25812539316418537,0.3698743386243386,0.026896855362693955,0.015385144429160936
2008,OCEANIA,555.0,229.0,25.0,111.0,8.0,301.0,61.0,49.0,224859.0,145400.0,0.8263888888888888,0.26763990267639903,0.4126126126126126,0.0024682134137392767,0.0015749656121045391
2008,OTHERS,722.0,488.0,2.0,17.0,3.0,232.0,407.0,61.0,224859.0,145400.0,0.9090909090909091,0.6685714285714286,0.6759002770083102,0.003210901053549113,0.0033562585969738653
2009,AFRICA,11435.0,3092.0,193.0,891.0,112.0,8150.0,885.0,1204.0,238150.0,150673.0,0.8386287625418061,0.2040238304521926,0.27039790118058593,0.04801595633004409,0.020521261274415455
2009,CARIBBEAN,15499.0,7110.0,1172.0,4395.0,301.0,7217.0,1504.0,910.0,238150.0,150673.0,0.8002726653033402,0.2506489461115149,0.4587392735015162,0.06508083140877598,0.04718828190850385
2009,CENTRAL AMERICA,159912.0,124645.0,2106.0,22741.0,1112.0,33161.0,82866.0,17926.0,238150.0,150673.0,0.9188720674910436,0.7524430210596253,0.7794599529741357,0.6714759605290783,0.8272550490134264
2009,SOUTH AMERICA,14419.0,5577.0,320.0,1398.0,149.0,8522.0,2220.0,1810.0,238150.0,150673.0,0.8286020353508302,0.3210643722115997,0.3867813301893335,0.06054587444887676,0.0370139308303412
2009,NORTH AMERICA,1251.0,471.0,245.0,270.0,16.0,535.0,139.0,46.0,238150.0,150673.0,0.5386064030131826,0.2569444444444444,0.3764988009592326,0.005252991811883267,0.0031259747930949804
2009,ASIA,27371.0,6852.0,748.0,2009.0,201.0,19771.0,1387.0,3255.0,238150.0,150673.0,0.7471264367816092,0.19014459509277845,0.2503379489240437,0.11493176569389041,0.04547596450591679
2009,EUROPE,6971.0,2186.0,330.0,917.0,121.0,4455.0,605.0,543.0,238150.0,150673.0,0.7587719298245614,0.204890237372836,0.31358485152775784,0.029271467562460633,0.014508239697888805
